country,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Libya,,,,,,,,,3.5,3.5,4,4,4,4,4,4,4,4,4,4,5.13,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,,,,,,3.21,3,3,3,3,2.08,2.13,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,4.5,4.5,5.57,5.34,5.39,4.5,3.23,3.13,3.11,3.44,4.14,4.31,4.04,3.83,4.43,4.5,4.65,4.8,4.76,4.8,4.88,4.27,5.47,3.05,2.83,2.95,3.1,3.26,3.25,3.32,3.49,3.06,2.93,2.8,2.27,1.87,1.66,1.57,1.5,1.53
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,9.22,6,5.07,5.64,6.8,9.08,10.9,10.6,6.9,6.43,8.67,10.2,7.5,5.99,7.09,9,8.85,8.71,
Lesotho,,,,,,,,,,,,,,,,,,,,,7.5,,,,9.9,13.9,10,7,9.58,12.8,13,13,10.6,8.06,8.43,13.3,12.7,11.8,10.7,7.45,4.92,4.83,5.19,5.16,4.24,4.22,4.54,6.46,7.64,4.85,3.68,2.69,2.85,2.85,2.73,2.33,1.11,1.22,1.39,1.65,1.91
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,9.17,3.92,3.5,3.5,4.56,7.04,7.13,5.88,3.5,2.75,4.21,5.93,5.23,6.22,7,5.3,5.33,2.59,0.631,0.323,0.124,1.58,2.85,2.85,1.1,0.0285,0.0176,0.0527,0.0628,0.0446,0.0504,0.0392,0.0383,0.0455,0.105,0.241,0.208
Morocco,,,,,,,,,,,,,,,,,,,4.5,4.5,4.88,6,6.38,6.5,6.5,8,8.5,8.5,8.5,8.5,8.5,8.5,,,6.94,,,7.98,7.26,6.39,5.16,5.04,4.54,3.78,3.6,3.52,3.67,3.67,3.91,3.81,3.69,3.76,3.83,3.91,3.89,3.8,3.46,3.12,3.09,3.01,2.87
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,25.4,23.5,21.7,27.5,24.9,20.9,14.2,12.6,15.1,13.2,11.9,15,17.9,14.9,7.67,7.57,7.63,7.23,5.72,12,10.7,5.77,4.49,4.6,3.83
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,20.5,20.5,20.5,20,19.5,17.6,19.4,14.4,8.25,11.1,15.1,13.3,12,11.8,12.6,16.4,19.8,16.5,13.3,11.4,10.3,10.7,10.4,10.1,11,14.7,15,15,12.8,13,13.2
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.13,4.13,4.13,4.2,4.17,4.23,4.55,4.55,3.94,3.94,3.94,3.94,3.94,3.94,4.05,4.17,3.73,3.81,4.14,4.12,3.78,3.57,3.66,3.47,3.72
Mexico,,,,,,,,,,,,,,,,,9.94,10.1,11,15.6,22.4,28.1,41.1,59.9,51.4,57.7,78.4,95,55.2,33.4,30.4,18,15.9,16.7,15,39.8,26.4,16.4,15.5,11.6,8.26,6.23,3.76,3.09,2.69,3.46,3.3,3.21,3.04,2.01,1.21,0.956,1.08,1.33,0.84,0.589,1.29,2.7,3.27,3.53,1.46
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,4.71,5.03,6.19,7.77,7.47,6.09,5.17,4.44,3.71,2.9,2.5,2.22,2.04,1.87,1.47
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61,7.82,7.81,8.12,8.58,8.39,8.5,7.99,7.65,7.26,7,6.92,6.49,,,
Myanmar,,,,,,,,,,,,,,,,0.75,0.75,0.875,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.88,9,9,9,9,9.75,12.5,12.5,12.5,11,9.75,9.5,9.5,9.5,9.5,9.5,11.4,12,12,12,12,11.3,8,8,8,8,8,8,8,8,5.83
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,4.86,4.87,4.84,5.06,4.96,3.82,3.81,3.7,3.13,3.26,2.91,2.14,1.46,1.07,0.879,0.608,0.46,0.405
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,280,116,74.6,44.8,36.4,33.3,23.4,16.8,14.3,13.2,14,14.2,13,13,13.5,11.4,13.3,11.9,10.5,11.3,12,12.3,13,13.3,13,12.4,11,10.3
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4,38.8,18.1,25.4,8.22,7.86,9.7,15,18,12.1,9.9,7.8,10.4,11.9,11,9.52,9.68,13,11.4,8.8,8.58,8.53,10.8,17.1,13.6,9.06,6.79
Mauritania,,,,,,,,,,,,,,,,,,,,,5.5,5.5,5.5,5.5,5.5,7.17,6.58,6,6,5,5,5,7.52,8.63,9,9,9,9,9,9,9.42,8,8,8,8,8,8,8,8,8,8,8,4.02,3.34,4.47,4.66,5.33,5.67,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,9.25,9.25,11.1,12.1,10.3,9.46,9.5,9.38,10,11.1,12.6,12.3,10.1,8.4,11,12.2,10.8,9.08,9.28,10.9,9.61,9.78,9.88,9.53,8.15,7.25,9.55,11.8,10.1,8.45,8.35,7.11,6.23,6.81,6.78,6.09,5.15,3.05,3.34,3.75,1.72
Malaysia,,,,,,,5,5.08,5.5,5.5,5.5,5.5,5,5.42,6.38,5.71,5.5,5.21,5.04,5.5,6.23,9.68,9.75,8.02,9.5,8.81,7.08,3,3.29,4.56,5.72,7.11,7.94,7.03,4.89,5.93,7.08,7.78,8.51,4.12,3.36,3.37,3.21,3.07,3,3,3.15,3.17,3.13,2.08,2.5,2.91,2.98,2.97,3.05,3.13,3.03,2.92,3.14,2.98,1.95
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,11.4,9.61,9.18,10.8,12.6,12.7,12.9,10.8,7.39,6.79,7.81,8.76,6.35,6.24,6.3,7.55,8.38,6.24,5,4.28,4.21,3.98,4.25,4.71,5.65,5.89,5.87,5.71,4.16
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61,7.82,7.81,8.12,8.58,8.39,8.5,7.99,7.65,7.26,7,6.92,6.49,,,
Nigeria,,,,,,,,,,,3,3,3.04,3,3,3,2.67,2.83,4.15,4.46,5.27,5.72,7.6,7.41,8.25,9.12,9.23,13.1,12.9,14.7,19.8,14.9,18,23.2,13.1,13.5,13.1,7.17,10.1,12.8,11.7,15.3,16.7,14.2,13.7,10.5,9.75,10.3,11.9,13,6.52,5.69,8.4,7.95,9.34,9.15,7.5,9.55,9.7,8.9,4.65
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131k,1930,11.6,14.1,14.6,14.1,14.2,13.6,15,15.1,13.1,11.8,10.8,11.6,7.79,5.55,4.72,4.03,4.87,6.08,6.57,6.01,2.99,1.85,0.996,1.01,1.05,1.05,1.1,1.25,1.32,3.07,2.15
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.05,4.7,4.4,3.54,3.17,3.1,2.74,2.89,3.1,2.77,2.49,2.31,2.34,2.98,3.89,4.37,2.6,2.35,2.61,2.74,2.44,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,2.07,1.31,0.762,0.723,0.731,0.928,0.598
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,8.93,6.58,6.24,6.38,8.49,8.49,7.26,6.78,4.56,6.36,5.35,5.33,5.1,5.77,6.68,6.92,7.78,7.55,4.04,4.58,4.27,4.11,3.83,4.01,3.73,3.23,3.3,3.26,3,1.68
Oman,,,,,,,,,,,,,,,,,,,,,,,,,9.03,9.04,8.4,7.71,7.39,8.35,8.29,7.46,6.35,5.04,3.8,6,6.45,6.7,7.8,8.14,7.68,6.13,3.33,2.51,2.25,2.82,3.79,4.18,3.9,4.43,3.76,3.01,2.69,2.56,2.2,1.9,2.56,3.44,3.57,3.88,4.03
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,2.6,4.17,5.31,6.92,8.68,8.14,8.23,7.98,7.17,7.26,5.97,4.83,4.48,5.22,9.13,7.47
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,6.59,7.54,8.49,8.4,7.73,5.67,5.9,6.11,7.17,7.2,7.03,6.76,6.92,7.07,6.83,4.96,3.98,2.23,2.69,3.93,4.54,3.12,3.02,2.63,1.94,1.9,1.81,1.85,1.83,1.72,1.79,1.83,2.17,2.04
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,1140,2440,171,59.7,44.1,22.3,15.7,14.9,15,15.1,16.3,13.3,9.92,4.19,3.83,2.98,3.42,4.79,4.92,5.45,4.35,2.13,3.67,3.88,3.53,3.82,4.11,4.91,4.45,3.34,3.67,1.86
Philippines,,,,,,,,,,,,,,,,,8.5,8.5,8.5,8.67,11.7,13.9,13.7,13.6,21.2,18.9,11.3,8.2,11.3,14.1,19.5,18.8,14.3,9.61,10.5,8.39,9.68,10.2,12.1,8.17,8.31,8.74,4.61,5.22,6.18,5.56,5.29,3.7,4.49,2.74,3.22,3.39,3.16,1.66,1.23,1.59,1.6,1.88,3.12,4.08,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,6.29,5.36,6.25,7.57,6.33,6.11,5.42,5.71,5.97,5.18,3.32,3.35,7.29,7.13,4.13,8.36,8.13,8.46,5.46,3.18,4.38,1.73,0.854,0.979,1.06,1.31,2.32,1.38,0.92,0.486,0.33,0.332,0.425,0.645,0.516,0.68,0.88,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,18,17.7,15.8,17.4,18.2,16.6,13.5,10.2,16.2,19.7,15.7,16.2,22.9,15.8,5.11,1.66,6.72,5,3.08,1.46,1.21,4.03,3.92,4.24,4.31,3.51,3.76,3.94,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,2.24,2.97,3.02,0.805,0.404,0.29,0.529,0.457,0.623,0.826,0.938,1.01,1.39,2.27,2.85,2.47
Qatar,,,,,,,,,,,,,,,,,,,,5,6,6,6,6,6,6,6,6,6,6,6,6,4.75,4.08,4.84,6.19,6.5,6.63,6.56,6.5,6.5,,,,2.65,3.19,4.23,4.42,2.96,4.24,2.9,1.75,1.67,1.42,1.35,1.61,2.45,2.91,3.45,3.63,2.51
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,57,44.7,37.3,55.8,37.3,45.9,33.1,26.9,19.2,11,11.5,6.42,4.77,6.7,9.51,12,7.31,6.3,5.5,4.55,3.02,1.89,1.11,0.888,1.3,1.79,1.93
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,17.1,13.7,6.51,4.85,4.95,4.47,3.79,3.99,4.08,5.14,5.76,8.58,6.01,4.44,5.53,5.59,6.04,9.2,6.97,5.86,5.36,5.4,3.77
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,8.38,8.84,8.45,9.49,9.98,9.65,9.16,9.23,8.67,8.2,7.62,6.08,8.11,6.76,7.75,8.85,9.92,8.24,8.24,7.91,7.72,7.51,7.64,7.64
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61,7.82,7.81,8.12,8.58,8.39,8.5,7.99,7.65,7.26,7,6.92,6.49,,,
Singapore,,,,,,,,,,,,,,,,,,4.06,4.75,6.2,9.37,10.7,7.21,6.31,6.97,4.99,3.91,2.89,2.74,3.21,4.67,4.63,2.87,2.3,3,3.5,3.41,3.47,4.6,1.68,1.71,1.52,0.869,0.502,0.403,0.441,0.57,0.529,0.419,0.292,0.206,0.168,0.136,0.14,0.144,0.167,0.19,0.142,0.157,0.198,0.183
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,2,0.861,0.293,0.247,0.307,0.21,0.306,0.341,0.347,0.496
Sierra Leone,,,,,,,,,,,,,,,,,,7,7,7.25,9.17,10,10,11,12,11.3,14.2,12.7,16.3,20,40.5,47.8,54.7,27,11.6,7.03,14,9.9,7.12,9.5,9.24,7.76,9.4,9.67,11.2,11.8,11.1,10.8,10.6,9.72,9.47,10.3,10.4,8.91,6.61,4.49,5.36,5.53,6.08,6.4,5.64
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.67,1.64,1.44,1.35,2.13,2.63,2.23,0.963,0.708,1.08,1.25,1.07,1.32,2.43,2.17,1.84,1.53,1.42,1.13
Somalia,,,,,,,,,,2,2,2,2,2.46,2.5,4,4,4,4,4.04,4.5,5.5,7.5,8.5,8.5,14,15.3,16.3,20.6,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,60.9,46.1,6.3,12.9,24.3,16.5,15.7,15.4,18.3,12.6,16.1,15.4,13.1,18.4,18,18.3,14.9,13.6,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,1.36,1.39,1.2,1.02,0.712,0.184,0.0601,0.0762
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,9.49,11.5,12.2,10.8,12.8,12.8,11.9,11.1,12.4,12.9,12.6,8.92,6.9,4.13,4.17,3.8,3.38,3.26
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.6,4.5,4.75,7.45,21,17.8,17.4,15.9,15.6,15.5,11.9,9,8.28,8.34,7.27,6.63,6.42,6.34,6.38,6.17,6.39,6.79,7.09,7.35,7.53,8.07,9.05,9.24,8.99,7.71
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,5.45,4.75,5.73,3.7,2.38,2.29,1.48,2.06,2.17,2.38,1.68,1.07,0.817,1.09,,,,,,,,,,,,,,
Eswatini,,,,,,,,,,,,,,5.5,7.02,7.96,7.75,7.75,7.67,5.63,4.5,6.58,11.7,11.2,15,14.4,7.59,4.89,6.74,9.08,8.74,10.6,10.5,7.89,7.54,9.44,11.1,12,11.9,9.86,6.53,6.15,8.02,7.59,4.63,4.01,4.93,7.05,8.17,5.4,3.85,2.85,2.46,2.08,2.14,2.27,2.94,3.2,3.76,3.69,2.47
Seychelles,,,,,,,,,,,,,,,,,,,,,,9,9,9.08,9.5,9.6,10,10,10,9.73,9.55,9.5,9.56,9.37,8.85,9.22,9.9,9.2,7.53,5.13,4.77,4.92,4.93,3.99,3.55,3.72,2.46,3.07,3.97,9.77,2.86,2.08,3.3,3.43,2.33,3.16,3.49,3.61,3.29,3.58,3.48
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.5,7.5,7.75,8.08,5.5,5.46,5,5,5,5,5,5,5,5,4.92,4.33,4.25,3.75,3.25,3.25,3.25,3.25,3.21,2.6,2.45,2.45,2.45,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61,7.82,7.81,8.12,8.58,8.39,8.5,7.99,7.65,7.26,7,6.92,6.49,,,
Thailand,,,,,,,,,,,,,,,,,,8,8,8.25,12,12.5,13,13,13,13,9.75,9.5,9.5,9.5,12.3,13.7,8.88,8.63,8.46,11.6,10.3,10.5,10.6,4.77,3.29,2.54,,,1.1,1.65,4.34,2.84,2.54,1.02,1.2,2.46,2.6,2.43,1.75,1.43,1.3,1.29,1.29,1.42,0.622
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.54,9.84,10.2,10.2,9.52,11,9.37,7.58,8.65,8.24,7.67,6.58,5.49,4.23,3.53,3.68,3.84,5.18,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.786,0.774,0.79,0.792,0.796,0.781,0.797,0.831,0.813,0.846,0.905,0.9,0.853,0.777,0.76,0.693,0.642,0.642,0.65
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,2.82,2.83,3.02,3.14,3.02,2.84,2.29,2.07
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,5.31,6.04,6.03,6.04,6.28,5.96,5.79,6.99,7.06,6.91,6.42,7.94,6.91,7.95,8.51,8.15,7.66,4.76,2.91,2.79,2.2,4.79,5.9,7.37,3.42,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Turkey,,,,,,,,,,,,,,,,,,,6,7.33,8,26.5,45,45.3,51.4,49.3,40.6,35,49.1,53.8,47.5,62.7,68.7,64.6,87.8,76,80.8,79.5,80.1,78.4,47.2,74.7,50.5,37.7,24.3,20.4,21.6,22.6,22.9,17.6,15.3,14.1,17.2,15.3,16.9,14.9,14.6,15.3,23.3,25.4,13.4
Tanzania,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4.5,8.5,15.8,17.5,17,,,17,17.8,21.9,24.6,13.6,7.83,7.75,7.75,7.39,4.81,3.29,3.05,4.2,4.73,6.73,8.68,8.25,7.97,6.62,6.78,9.54,9.97,9.86,9.9,10.5,11.2,8.2,7.1,6.68
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,20,20,23.3,20,21.5,32.2,31.3,31.2,35.8,16.3,9.99,7.61,10.6,11.8,11.4,8.73,9.84,8.47,5.56,9.85,7.74,8.79,9.09,9.26,10.7,9.75,7.69,13.3,16.8,12.1,10.8,12.8,13.2,9.7,9.38,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,149,209,70.3,33.6,18.2,22.3,20.7,13.7,11,7.93,6.98,7.8,8.57,7.57,8.12,9.95,13.8,10.6,7.9,13,10.8,12.1,13,11.5,9.13,11.8,12.9,6.09
Uruguay,,,,,,,,,,,,,,,,,48.6,57.3,76.6,67.6,80.5,74.1,80.6,115,110,132,99.3,97.9,109,136,157,121,87.6,63.4,59.5,61.5,45.3,31.5,24.3,22.9,19.5,23,62.6,29.7,6.2,2.84,1.83,2.36,3.23,4.4,4.17,4.55,4.45,4.65,4.9,5.6,5.57,5.07,5.12,5.07,4.79
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,17.3,13.6,14.8,14.7,14.3,16.2,16.3
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,4.84,5.61,5.28,5.39,5.17,5.15,5.28,4.84,4.29,4.06,3.94,3.9,3.89,4.34,4.14,4.21,4.27,4.46,4.54,4.56,4.35,4.56,3.3,2.89,2.92,2.82,2.79,2.94,2.86,2.99,2.88,2.73,2.64,2.12,1.9,1.86,1.82,1.8,1.73
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,12.3,10.5,8.93,8.94,8.95,28.9,27.8,31.1,35.4,53.7,39,24.7,27.6,14.7,34.8,21.3,16.3,15.5,29,17.2,12.6,11.6,10.3,10.7,16.2,16.4,14.8,14.6,14.5,14.5,14.7,14.9,15.1,14.7,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,8.51,9.23,7.37,3.65,5.3,6.45,6.62,6.17,7.14,7.63,7.49,12.7,7.91,11.2,14,10.5,7.14,5.76,4.75,5.04,4.81,4.74,4.97,4.12
Vanuatu,,,,,,,,,,,,,,,,,,,,,,11.1,10.4,9.44,8.75,7.34,6.81,5.48,6.94,6.58,7,7,4.69,5,5.06,3,4.5,3.73,3.29,1.6,1.27,1.25,1,1.21,1.71,2,1.94,1.31,1.25,1.25,1.58,1.5,1.31,1.25,1.1,1.42,1.17,0.708,0.458,0.25,0.199
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4.51,4.52,4.39,4.35,4.87,6.44,6.06,4.81,2.7,2.29,2.47,2.88,3.02,2.48,2.37,2.61,2.76,2.69,2.66
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,14.9,11.3,18.3,14,13,13,13,13,13,13,13,13,10.7,18.7,20,19.5,15.3,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,8.54,6.46,5.67,5.44,5.15,5.8,6.15,7.17,7.25,7,7.01,4.88
Zambia,,,,,,,,,,,,,,,,,,,6.25,6.75,7,6.17,6,7,7.71,15.3,17.7,13.2,11.4,11.4,25.7,31.5,48.5,88.1,46.1,30.2,42.1,34.5,13.1,20.3,20.2,23.4,23.3,21.9,11.5,11.2,10.3,9.22,6.55,7.09,7.4,7.02,7,6.49,7.88,8.99,10.8,8.89,6.8,8.29,8.72
Zimbabwe,,,,,,,,,,,,,,,,,,,,,3.52,7.46,14.5,12.8,10.3,10,10.3,9.58,9.68,8.85,8.8,14.2,28.6,29.4,26.8,25.9,21.6,18.6,29.1,38.5,50.2,13.9,18.4,35.9,103,91.1,203,122,129,,,,,,,6.7,4.09,3.27,2.53,2.98,
