country,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mauritania,,,,,,,,,,,,,,6.5,6.5,6.5,6.5,6.5,4.83,5.42,6,6,5,5,5,8.32,8.96,9.17,11.3,13,13,16.5,19,16.2,14.5,13,13,13,15.1,16,15.5,12.3,11.5,9,9,13,13.7,12.5,12.3,11.7,11.3,,,
Mauritius,,,,,,,,,,,,,,2.5,2.94,2.23,3.02,2.96,4.38,4.83,4.75,4.96,5.06,5.44,5.44,7.06,8.19,7.87,8.58,10,9.83,10.6,10.7,11.2,11.3,11.1,11.5,12.9,13.8,11.5,10.1,1.43,0.804,0.525,1.81,2.43,1.69,1.72,2.41,3.35,5.45,5.16,4.7,5.5
Malaysia,,,3.64,3.7,3.69,3.87,4.44,4.86,4.54,4.53,4.26,4.3,3.93,3.9,2.21,2.65,3.75,2.71,3.74,5.16,7.36,6.01,4.33,3.06,2.24,2.23,3,3.87,2.8,2.86,2.85,3.62,4.44,4.31,3.75,3.32,3.23,3.05,2.95,3.34,3.24,2.95,3,2.5,2,1.81,1.68,1.54,1.43,1.5,1.68,1.79,1.89,1.99
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,10.6,8.85,8.41,7.87,7.67,6.6,7.48,7.78,7.67,7.89,7.74,6.03,5.95,5.04,4.37,4.88,5.34,5.35,4.88,4.72,4.45,4.44,4.31,4.45,4.61,4.2,4.14,4.28,4.17,3.56
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19,−3.08,−3.06,−3.14,−3.6,−3.27,−3.24,−2.95,−2.37,−1.92,−1.84,−1.63,−1.35,,,
Nigeria,,,,4,4,3.96,4,4,3.25,3.83,3.17,2.6,3.69,3.17,3.2,1.94,2.56,1.99,0.317,0.724,0.874,3.67,5.77,5.52,5.13,6.72,8.41,7.39,6.7,6.78,10.6,8.08,7.48,9.58,8.18,8.1,6.5,5.48,7.42,7.14,6.65,3.27,6.03,11.1,10.3,8.39,8.78,7.21,7.7,9.37,8,7.2,6.48,9
Nicaragua,,,,,,,,,,,,,,,,,,,,,,−30.8k,−1470,6.45,0.524,1.2,2.43,2.26,2.72,1.94,2.11,4.6,5.75,7.34,6.99,10.5,10,8.78,8.07,6.71,6.97,6.6,8.04,10.3,8.69,11,14,12.5,11,10.3,9.53,9.58,9.38,9.03
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.717,1.9,1.9,1.19,0.512,0.441,0.43,0.559,0.715,0.233,−0.614,−0.597,−0.607,−1.11,−0.94,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16,2.14,2.19,2.31,2.28,2.19,2.31,2.1
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,2.49,1.45,2.25,1.84,1.9,1.33,1.08,1.28,0.828,1.39,2.62,1.67,1.84,1.72,1.71,1.79,2.03,1.79,1.46,−3.26,,
Oman,,,,,,,,,,,,,,,,,,1.32,1.19,1.52,1.59,1.96,1.5,1.56,2.11,3.01,3.85,4.58,3.28,2.86,2.48,1.94,2.39,2.47,3.46,5.49,5.88,5.69,4.46,3.5,3.19,2.93,2.89,3.38,3.51,3.21,2.96,3.02,2.98,2.35,1.71,1.67,1.54,1.43
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.62,6.48,6.81,6.46,6.02,5.86,5.9,6.19,5.54,4.81,4.46,4.18,3.92,3.73,3.31,3.1,3.28
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,3.96,4.42,3.47,3.41,4.14,5.62,5.95,6.59,5.97,4.75,4.25,4.79,4.61,4.68,5.58,5.82,5.6,5.08,4.66,4.88,4.97,5.05,4.92,4.96
Peru,,,,,,,,,,,,,,,,,,,,,,−6.29,217,1820,500,88.5,50.1,33,20.5,16.6,15.9,17.5,18.8,16.7,15.1,16.6,17.2,21.7,22.1,19.1,17.9,18.2,16.7,16.8,15,15.4,14.6,11.9,12,11.6,12.3,11.2,10.7,11.1
Philippines,,,,,,,,,,3.5,3.5,3.5,5.33,2.33,1.48,4.38,5.66,7.02,9.7,6.28,5.14,4.61,5.14,4.58,4.27,5.2,5.08,4.52,6.29,5.16,6.08,4.67,3.61,2.6,3.66,4.53,4.25,3.9,4.63,4.48,5,4.26,5.83,4.45,3.28,2.52,4.11,4.3,3.99,4.05,3.75,3,3.01,
Papua New Guinea,,,,,,,,,,,,,,,,,5.29,5.28,5.29,4.76,5.61,6.57,9.2,9.81,8.2,9.36,7.97,5.81,5.85,6.17,6.32,9.34,10.8,9.08,10.7,10.7,8.98,11.5,10.6,9.59,8.72,7.88,7.77,9.06,9.89,10.3,9.8,9.04,8.31,7.73,7.87,8.39,7.77,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,22.6,23.4,21.9,19,15.2,15.2,16.4,21.8,41.9,33.7,32.9,28.1,23.9,26.7,31.2,28.9,13.4,13.2,15,16.9,16.2,14.3,14.1,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.21,5.1,4.76,4.96,6.38,5.78,6.04,6.26,6.51,6.89,5.58,5.84,5.14,4.4,3.61,3.08,3.11
Qatar,,,,,,,,,,,,,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.38,3.13,4.02,4.01,,,,,,,,,3.54,3.47,2.95,3,3.88,2.81,4.37,3.74,3.71,3.69,3.61,2.82,1.59,1.79,1.53,1.41,1.57
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,33.4,5.99,17.9,16.7,18,19.8,20.7,18.5,16.2,14.4,14.1,13.2,9.21,6.65,5.47,5.29,6.76,5.83,5.82,5.97,5.45,4.88,4.6,4.68,5.5,5.38,4.56
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,24.7,26,17.9,13.1,10.8,8.5,7.65,6.69,6.35,4.89,6.47,6.72,4.81,4.02,3.57,3.88,5.1,6.52,5.63,4.7,3.5,3.35,3.01
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.24,8.34,6.87,7.87,7,6.38,6.57,6.83,6.76,7.11,7.66,8.38,10.2,8.62,10.2,8.92,7.86,7.39,9.02,9.09,9.38,9.46,9.44,8.88,8.7
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−0.558,−3.08,−3.06,−3.14,−3.6,−3.27,−3.24,−2.95,−2.37,−1.92,−1.84,−1.63,−1.35,,,
Singapore,,,,,,,,,,,,2.42,2.3,2.35,2.94,3.01,2.74,2.74,3.07,2.91,3.21,3.23,3,2.69,2.95,3.08,3.09,2.88,2.87,2.85,2.85,2.84,4.12,4.12,4.13,4.48,4.8,4.9,4.86,4.74,4.8,4.96,5.09,5.17,5.21,5.24,5.24,5.21,5.18,5.16,5.14,5.17,5.05,5.07
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,11.2,10.4,10.5,10.7,10.2,9.89,10.4,10.4,10.2,10.2
Sierra Leone,,,,,,,,,,,4,4,3.75,1.83,5,5,6.25,6,5.67,3.02,15.9,11.7,9.67,12,8.45,8.17,23.5,15.7,21.8,18.2,14,16.7,17.3,17,16.5,12.8,10.3,10.9,12.8,12.9,14.2,13.9,12.4,11.8,10.7,10.6,11.7,12.8,14.2,17.6,17.6,17.2,16.6,17.8
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,5.28,5.85,5.7,5.83,4.58,4.96,5.67,4.78,4.67,4.84,5.22,5.55,4.79,0.0556,0.142,0.394,0.607,0.613,0.589
Somalia,,,,,,,,,3,3,3,3,3.46,3,4.5,4,3.5,3.5,5,5.27,5.75,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,−58.9,−44.7,−42.7,72.4,25.9,−21,−13.9,−12.3,−11.9,−13.2,−8.23,−10.1,−8.52,−6.53,−6.67,−8.05,−9.04,−8.02,−8.61,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,12.2,17.3,12.6,9.35,9.42,16,15.6,16
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22.4,20.1,18.3,19,18.6,19.6,19.6,19.2,17.8,14.6,13.3,13.3,14.3,16.4,15.5,15.4,16.1,15.7,15.9
Suriname,,,,,,,,,,,,,,,,,,,,,,,,4.1,4.3,4.42,4.6,7.92,19.3,18.1,15.8,11.1,11.8,13.5,13.9,13.2,12.8,12.1,10.1,9.02,7.35,5.86,5.28,5.42,5.37,4.95,4.89,4.93,5.08,5.41,5.38,5.06,5.98,7.38
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,6.65,5.89,5.41,5.03,4.69,4.16,3.9,3.72,3.56,3.42,3.34,3.11,2.72,2.59,,,,,,,,,,,,,,
Eswatini,,,,,,,,,2.79,2.75,2.75,2.81,4.13,5,4.67,5.71,5.33,5.33,6.24,6.69,6.98,6.41,5.42,5.76,5.42,5.43,6.46,6.71,7.62,7.58,7.5,7.58,7.56,7.47,7.1,7.23,7.04,6.66,6.61,6.24,6.11,6.67,5.97,5.9,6.15,6.29,6.42,6.49,6.77,7.31,7.55,6.55,6.44,5.49
Seychelles,,,,,,,,,,,,,,,,,,,,,,,5.77,6.1,6.07,6,6.35,6.87,6.54,6.31,5.69,6.77,6.04,5.97,5.7,5.65,6.63,6.45,6.05,7.59,7.83,7.84,5.58,9.84,9.11,8.89,8.86,9.32,9.2,8.87,8.63,9.02,9.02,8.13
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,−3.08,−3.06,−3.14,−3.6,−3.27,−3.24,−2.95,−2.37,−1.92,−1.84,−1.63,−1.35,,,
Thailand,,,,,,,,,,,2.9,2.98,4.71,4.15,4.71,3.96,2.21,3.79,3.08,3.63,2.04,2.08,2.75,2.17,1.73,3.29,2.54,2.44,1.67,3.06,3.13,3.77,4.21,4.54,4.73,,,3.45,3.07,1.94,3.21,3.29,3.75,3.13,2.61,2.59,2.63,3.2,3.3,3.17,3.13,2.86,2.67,2.67
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67,6.89,10.1,13.1,14.6,12,14.2,15,14.8,14.2,13.4,17.8,19,21.6,21.4,26,23.4,18.4,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,11.3,11.5,12,12.7,13.3,12.6,12.8,14.7,13.5
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.81,6.53,5.81,5.22,4.79,4.86,5.2,5.78,5.76
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,7.37,5.96,5.47,6.55,7.04,6.91,7.38,8.35,8.44,9.07,8.75,7.85,8.42,9.38,8.53,8.35,8,7.72,8.25,6.52,6.91,6.13,5.85,5.07,8.52,7.78,6.47,6.21,6,6,6.68,7.5,7.5,7.59,7.75,5.05
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,9.58,12.5,13.2,20.4,18.4,15.1,14.1,14.2,15.2,13.1,11.5,9.94,10.5,8.93,7.39,6.73,7.06,7.92,8.19,6.01,5.89,6.44,6.21,5.46,6.59,9.21,9.87,10
Uganda,,,,,,,,,,,,,,,,,,1.92,4,10,14.7,13.5,7.83,7.42,3.25,3.28,,10.8,12.6,9.68,9.53,9.51,12.8,13.1,14.2,13.5,9.09,12.9,10.9,9.61,9.84,9.78,11.2,12.5,8.49,9.35,11.2,10.8,9.83,10.6,11.6,10.5,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,35.6,41.7,52.4,46.3,30.9,32.2,34.3,27.8,21.3,17.4,10.9,9.61,7.6,7.6,5.78,7.54,7.1,5.31,8.05,5.43,5.87,5.62,8.81,7.75,7.26,7.23,6.93,8.21
Uruguay,,,,,,,,,,11.2,4.86,−4.67,−4.04,−16,−15.6,−23.9,−24.1,−29.3,−40.1,−7.44,−5.01,−10.7,−12.6,11.7,27.1,26.5,31,32.7,34.5,43.4,37.8,31.9,28.7,28.1,27.1,55.8,29.3,17.5,10.8,7.42,6.58,9.22,10.9,6.16,5.23,6.75,7.79,10.6,10.2,10.6,8.77,7.08,6.49,6.44
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.834,−1.3,0.186,−1.23,0.704,5.71,7.45,6.03
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,4.13,3.88,5.48,5.45,6.04,6.06,5.52,6.37,7.26,7.13,7.36,8.03,7.85,6.73,7.09,7.08,7.03,7.09,6.93,7.07,7.21,7.27,6.39,6.69,6.81,6.79,6.73,6.25,6.31,6.14,6.54,6.71,6.51,7.18,7.22,6.89,6.66,6.55,6.3
Venezuela,,,,,,,,,,,,,,,,,,−2.72,−1.19,−0.439,−0.471,−0.451,−6.41,7.71,6.06,5.9,6.16,15.6,15,11.8,8.99,11.5,10.8,8.9,6.94,7.58,7.99,5.9,5.18,5.21,6.4,6.22,3.48,3.55,2.56,1.87,1.39,2.53,4.51,5.69,6.33,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,5.9,5.17,5.33,6.9,4.12,2.61,2.86,3.55,3.88,3.55,3.69,3.05,2.16,1.94,2.96,2.97,3.23,2.91,2.37,1.93,2.26,2.63,2.73,3.53
Vanuatu,,,,,,,,,,,,,,,4.92,6.75,8.06,8.08,8.41,9.19,9.94,10.1,10.4,10.3,11,11.6,11,10.9,7.5,6,6.77,7.67,8.69,8.58,7.56,6.41,4.69,5.9,5.47,6.31,6.85,4.04,4.25,3.92,4,4.74,3.75,3.59,2.21,1.78,2.5,2.24,1.75,1.88
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.07,6.94,6.76,6.84,7.08,6.85,6.21,6.6,7.28,8.02,7.68,7.39,7.32,7,7.03,6.72,6.16,6.19,6.24,6.04
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,7.6,6.79,5.83,5.54,4.5,4.71,5,5.5,5,5,5,5,7.33,5.17,5,5,6.83,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51,3.17,3.37,3.33,3.31,3.35,3.32,3.26,3.29,3.13,3.08,3.12,2.83
Zambia,,,,,,,,,,,,2,2.33,2.5,3.33,3.5,6,6.83,3.27,9.65,7.96,6.95,6.95,9.45,11.5,6.07,25.2,24.4,15.3,11.7,12.2,18.7,20.3,18.6,22.8,21.9,18.6,19.2,17,12.8,9.67,12.5,15,13.5,11.8,5.15,3.03,3.7,4.26,4.72,3.49,2.99,2.01,0.763
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,3.02,3.64,4.6,13.2,
